"cell","ttype","ttype_sub","layer"
"SM-GE8XZ_S132_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE8XZ_S128_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE8XZ_S153_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE8XZ_S133_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8XZ_S142_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE8XZ_S134_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE8XZ_S143_E1-50","Vip","Vip Rspo1 Itga4","2/3"
"SM-GE8XZ_S157_E1-50","Vip","Vip Chat Htr1f","4"
"SM-GE8XZ_S149_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE8XZ_S158_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE8XZ_S144_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE8XZ_S150_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","5"
"SM-GE8XZ_S135_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE8XZ_S136_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8XZ_S151_E1-50","Sst","Sst Esm1","5"
"SM-GE8XZ_S138_E1-50","Sst","Sst Nr2f2 Necab1","4"
"SM-GE8XZ_S159_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8XZ_S146_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XZ_S160_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XZ_S147_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XZ_S140_E1-50","Sst","Sst Tac1 Htr1d","5"
"SM-GE8XZ_S156_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE8XZ_S161_E1-50","Sst","Sst Tac2 Myh4","5"
"SM-GE8XZ_S162_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XZ_S163_E1-50","Sst","Sst Chrna2 Glra3","5"
"SM-GE8XF_S033_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE8XZ_S189_E1-50","Sst","Sst Esm1","5"
"SM-GE8XF_S034_E1-50","Sst","Sst Esm1","6"
"SM-GE8XZ_S165_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8XZ_S173_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XZ_S166_E1-50","Sst","Sst Chodl","5"
"SM-GE8XZ_S181_E1-50","Sst","Sst Myh8 Fibin","5"
"SM-GE8XZ_S174_E1-50","Sst","Sst Tac1 Tacr3","4"
"SM-GE8XZ_S175_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE8XZ_S176_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XZ_S190_E1-50","Sst","Sst Hpse Cbln4","2/3"
"SM-GE8XZ_S167_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XZ_S183_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8XZ_S170_E1-50","Sst","Sst Esm1","5"
"SM-GE8XZ_S185_E1-50","Sst","Sst Esm1","5"
"SM-GE8XZ_S191_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XZ_S172_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XZ_S186_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XZ_S192_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XF_S035_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8XZ_S187_E1-50","Sst","Sst Chrna2 Glra3","5"
"SM-GE8XZ_S188_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XF_S032_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XQ_S007_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE8XQ_S008_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S024_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XQ_S038_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XZ_S178_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XQ_S039_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XQ_S009_E1-50","Sst","Sst Esm1","5"
"SM-GE8XZ_S179_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XQ_S031_E1-50","Sst","Sst Chodl","6"
"SM-GE8XQ_S040_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XQ_S025_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S026_E1-50","Sst","Sst Tac1 Htr1d","4"
"SM-GE8XQ_S004_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE8XQ_S020_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","5"
"SM-GE8XQ_S005_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8XQ_S027_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE8XQ_S013_E1-50","Sst","Sst Chodl","6"
"SM-GE8XQ_S035_E1-50","Sst","Sst Chodl","5"
"SM-GE8XQ_S021_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S028_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE8XQ_S014_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XQ_S022_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XQ_S006_E1-50","Sst","Sst Chodl","5"
"SM-GE8XQ_S015_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S016_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S023_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8XQ_S041_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S017_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8XQ_S030_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S037_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8XQ_S052_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XQ_S053_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S054_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XQ_S044_E1-50","Sst","Sst Tac2 Myh4","5"
"SM-GE8XQ_S045_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE8XQ_S046_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S063_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XQ_S074_E1-50","Lamp5","Lamp5 Krt73","2/3"
"SM-GE8XQ_S075_E1-50","Lamp5","Lamp5 Fam19a1 Tmem182","1"
"SM-GE8XQ_S055_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8XQ_S105_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XQ_S076_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE8XQ_S106_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8XQ_S056_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE8XQ_S077_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8XQ_S064_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8XQ_S057_E1-50","Sst","Sst Crh 4930553C11Rik ","5"
"SM-GE8XQ_S107_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XQ_S058_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S108_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XQ_S049_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8XQ_S059_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S066_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE8XQ_S050_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XQ_S060_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S061_E1-50","Sst","Sst Chodl","6"
"SM-GE8XQ_S109_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XQ_S051_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8XQ_S067_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE8XQ_S110_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8XQ_S080_E1-50","Sst","Sst Hpse Cbln4","2/3"
"SM-GE8XQ_S068_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S111_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8XQ_S083_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XQ_S112_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE8XQ_S122_E1-50","Sst","Sst Myh8 Fibin","5"
"SM-GE8XQ_S113_E1-50","Sst","Sst Chodl","5"
"SM-GE8XQ_S138_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XQ_S114_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE8XQ_S139_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XQ_S123_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE8XQ_S115_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8XQ_S116_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8XQ_S153_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE8XQ_S118_E1-50","Sst","Sst Mme Fam114a1","6"
"SM-GE8XQ_S119_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S154_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE8XQ_S120_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XQ_S151_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE8XQ_S140_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XQ_S146_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8XQ_S147_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XQ_S133_E1-50","Sst","Sst Esm1","6"
"SM-GE8XQ_S126_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE8XQ_S142_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XQ_S134_E1-50","Pvalb","Pvalb Th Sst","5"
"SM-GE8XQ_S127_E1-50","Sst","Sst Tac2 Myh4","5"
"SM-GE8XQ_S148_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XQ_S155_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE8XQ_S149_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XQ_S156_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S176_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XF_S042_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XQ_S165_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8XQ_S177_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE8XQ_S166_E1-50","Sst","Sst Nts","5"
"SM-GE8XQ_S186_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XF_S043_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE8XQ_S178_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S167_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE8XQ_S168_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XQ_S187_E1-50","Sst","Sst Tac1 Tacr3","6"
"SM-GE8XQ_S179_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8XF_S044_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XF_S045_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8XQ_S188_E1-50","Sst","Sst Esm1","5"
"SM-GE8XQ_S170_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE8XQ_S189_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8XF_S046_E1-50","Sst","Sst Hpse Sema3c","6"
"SM-GE8XF_S047_E1-50","Sst","Sst Esm1","6"
"SM-GE8XQ_S182_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE8XF_S048_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8XQ_S190_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8XQ_S191_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE8XQ_S184_E1-50","Sst","Sst Esm1","6"
"SM-GE8XQ_S192_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8XQ_S185_E1-50","Sst","Sst Chodl","6"
"SM-GE8XF_S049_E1-50","Sst","Sst Chodl","2/3"
"SM-GE8XF_S051_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XF_S055_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE8XF_S056_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE8XF_S053_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE8XF_S057_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE8XF_S058_E1-50","Pvalb","Pvalb Tpbg","5"
"SM-GE8XF_S054_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE8XF_S062_E1-50","Vip","Vip Pygm C1ql1","5"
"SM-GE8XF_S059_E1-50","Pvalb","Pvalb Tpbg","5"
"SM-GE8XF_S060_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE8XF_S067_E1-50","Sst","Sst Myh8 Etv1 ","6"
"SM-GE8XF_S070_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE8XF_S071_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE8XF_S072_E1-50","Pvalb","Pvalb Gabrg1","6"
"SM-GE5VR_S104_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5VR_S106_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE5VR_S098_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE5VR_S105_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE5VR_S103_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE8XF_S090_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE5VR_S099_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8XF_S094_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5VR_S100_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE8XF_S092_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE5VR_S097_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE5VR_S101_E1-50","Sst","Sst Nts","6"
"SM-GE8XF_S086_E1-50","Sst","Sst Calb2 Necab1","4"
"SM-GE5VR_S102_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE8XF_S082_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE5VR_S109_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8XF_S083_E1-50","Pvalb","Pvalb Calb1 Sst","6"
"SM-GE8XF_S084_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE8XF_S093_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE8XF_S087_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VR_S117_E1-50","Vip","Vip Gpc3 Slc18a3","6"
"SM-GE5VR_S118_E1-50","Vip","Vip Arhgap36 Hmcn1","2/3"
"SM-GE5VR_S119_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE5VR_S133_E1-50","Vip","Vip Arhgap36 Hmcn1","6"
"SM-GE5VR_S138_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE5VR_S120_E1-50","Sncg","Sncg Vip Nptx2","2/3"
"SM-GE5VR_S140_E1-50","Pvalb","Pvalb Gpr149 Islr","5"
"SM-GE5VR_S139_E1-50","Vip","Vip Lmo1 Myl1","5"
"SM-GE5VR_S134_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE5VR_S135_E1-50","Pvalb","Pvalb Sema3e Kank4","5"
"SM-GE5VR_S129_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VR_S130_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VR_S131_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VR_S111_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5VR_S142_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE5VR_S136_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE5VR_S132_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5VR_S112_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5VR_S145_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VR_S137_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","6"
"SM-GE5VR_S146_E1-50","Vip","Vip Pygm C1ql1","1"
"SM-GE5VR_S143_E1-50","Pvalb","Pvalb Gpr149 Islr","5"
"SM-GE5VR_S147_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VR_S160_E1-50","Vip","Vip Lmo1 Myl1","2/3"
"SM-GE5VR_S166_E1-50","Sst","Sst Tac1 Htr1d","6"
"SM-GE5VR_S170_E1-50","Pvalb","Pvalb Tpbg","4"
"SM-GE5VR_S156_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE5VR_S161_E1-50","Pvalb","Pvalb Reln Tac1","6"
"SM-GE5VR_S162_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE5VR_S157_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE5VR_S186_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5VR_S190_E1-50","Sst","Sst Esm1","6"
"SM-GE5VJ_S003_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE5VR_S191_E1-50","Pvalb","Pvalb Th Sst","5"
"SM-GE5VJ_S004_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5VR_S176_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE5VR_S177_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE5VR_S180_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE5VR_S183_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE5VR_S178_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE5VR_S182_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE5VR_S184_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE5VR_S179_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE5VR_S181_E1-50","Pvalb","Pvalb Sema3e Kank4","4"
"SM-GE5VJ_S023_E1-50","Sst","Sst Myh8 Fibin","6"
"SM-GE5VJ_S025_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE5VJ_S026_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE5VJ_S005_E1-50","Vip","Vip Col15a1 Pde1a","2/3"
"SM-GE5VJ_S020_E1-50","Sncg","Sncg Vip Nptx2","2/3"
"SM-GE5VJ_S008_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE5VJ_S017_E1-50","Vip","Vip Col15a1 Pde1a","1"
"SM-GE5VJ_S021_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE5VJ_S018_E1-50","Vip","Vip Lmo1 Fam159b","6"
"SM-GE5VJ_S022_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5VJ_S019_E1-50","Vip","Vip Crispld2 Kcne4","5"
"SM-GE5VJ_S027_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE5VJ_S028_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE5VJ_S029_E1-50","Sst","Sst Tac2 Myh4","5"
"SM-GE5VJ_S035_E1-50","Sst","Sst Calb2 Pdlim5","1"
"SM-GE5VJ_S030_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5VJ_S036_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE5VJ_S006_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE5VJ_S037_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE5VJ_S032_E1-50","Sst","Sst Esm1","6"
"SM-GE5VJ_S007_E1-50","Vip","Vip Pygm C1ql1","4"
"SM-GE5VJ_S081_E1-50","Sst","Sst Esm1","6"
"SM-GE5VJ_S083_E1-50","Pvalb","Pvalb Tpbg","5"
"SM-GE5VJ_S085_E1-50","Sst","Sst Calb2 Pdlim5","6"
"SM-GE5VJ_S041_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE5VJ_S086_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE5VJ_S055_E1-50","Vip","Vip Col15a1 Pde1a","2/3"
"SM-GE5VJ_S042_E1-50","Vip","Vip Rspo1 Itga4","1"
"SM-GE5VJ_S043_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE5VJ_S056_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE5VJ_S044_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE5VJ_S062_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE5VJ_S045_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE5VJ_S063_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE5VJ_S075_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE5VJ_S057_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE5VJ_S065_E1-50","Pvalb","Pvalb Reln Tac1","2/3"
"SM-GE5VJ_S046_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE5VJ_S058_E1-50","Vip","Vip Pygm C1ql1","4"
"SM-GE5VJ_S066_E1-50","Vip","Vip Lmo1 Myl1","2/3"
"SM-GE5VJ_S059_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE5VJ_S067_E1-50","Vip","Vip Pygm C1ql1","5"
"SM-GE5V9_S135_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE5V9_S136_E1-50","Sst","Sst Chrna2 Ptgdr","5"
"SM-GE5V9_S137_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE5V9_S140_E1-50","Sst","Sst Calb2 Pdlim5","6"
"SM-GE5V9_S138_E1-50","Sst","Sst Nts","6"
"SM-GE5V9_S139_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE5V9_S172_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5V9_S173_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE5V9_S145_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE5V9_S175_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE5V9_S157_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE5V9_S151_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE5V9_S174_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE5V9_S146_E1-50","Vip","Vip Lmo1 Fam159b","6"
"SM-GE5V9_S158_E1-50","Vip","Vip Lmo1 Fam159b","4"
"SM-GE5V9_S159_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5V9_S165_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5V9_S147_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE5V9_S160_E1-50","Vip","Vip Pygm C1ql1","5"
"SM-GE5V9_S148_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5V9_S161_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE5V9_S153_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE5V9_S167_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","6"
"SM-GE5V9_S149_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5V9_S168_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE5V9_S154_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE5V9_S150_E1-50","Vip","Vip Arhgap36 Hmcn1","4"
"SM-GE5V9_S155_E1-50","Vip","Vip Arhgap36 Hmcn1","6"
"SM-GE5V9_S170_E1-50","Vip","Vip Pygm C1ql1","5"
"SM-GE5V9_S163_E1-50","Sncg","Sncg Vip Itih5","5"
"SM-GE5V9_S156_E1-50","Vip","Vip Igfbp4 Mab21l1","4"
"SM-GE5V9_S176_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE5V9_S177_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE5V9_S183_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE5V9_S187_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE5V9_S188_E1-50","Sst","Sst Mme Fam114a1","4"
"SM-GE5V9_S192_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE5VE_S014_E1-50","Pvalb","Pvalb Th Sst","5"
"SM-GE5V9_S190_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE5V9_S180_E1-50","Sst","Sst Hpse Sema3c","6"
"SM-GE5V9_S184_E1-50","Vip","Vip Lmo1 Fam159b","4"
"SM-GE5V9_S181_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE5V9_S191_E1-50","Vip","Vip Arhgap36 Hmcn1","6"
"SM-GE5V9_S185_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE5V9_S186_E1-50","Vip","Vip Ptprt Pkp2","5"
"SM-GE5VE_S017_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE5VE_S040_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE5VE_S021_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE5VE_S041_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE5VE_S024_E1-50","Sst","Sst Mme Fam114a1","4"
"SM-GE5VE_S047_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE5VE_S025_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE5VE_S026_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE5VE_S027_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE5VE_S022_E1-50","Vip","Vip Igfbp4 Mab21l1","2/3"
"SM-GE5VE_S018_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE5VE_S049_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE5VE_S015_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE5VE_S019_E1-50","Sst","Sst Esm1","6"
"SM-GE5VE_S029_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE5VE_S030_E1-50","Vip","Vip Pygm C1ql1","4"
"SM-GE5VE_S043_E1-50","Sst","Sst Tac1 Tacr3","2/3"
